k,n_tweets,I-Involvement_pearson,I-Involvement_spearman,I-Involvement_mae,I-Involvement_rmse,I-Involvement_agreement_1,I-Involvement_kappa,I-Involvement_bias,You-Involvement_pearson,You-Involvement_spearman,You-Involvement_mae,You-Involvement_rmse,You-Involvement_agreement_1,You-Involvement_kappa,You-Involvement_bias,We-Involvement_pearson,We-Involvement_spearman,We-Involvement_mae,We-Involvement_rmse,We-Involvement_agreement_1,We-Involvement_kappa,We-Involvement_bias
1,250,0.18743383107215678,0.17249423011778936,1.972,2.433926868252208,0.388,0.09768223919755326,-0.5613333333333332,0.21650393283326008,0.21232677611998133,1.8706666666666667,2.4321001441369785,0.424,0.14539818650598213,-0.47333333333333344,0.3653809289977332,0.35500020165982327,1.504,1.941591557917828,0.508,0.20096893030766894,-0.5626666666666668
4,250,0.1848074977222747,0.17842539335902344,1.9453333333333336,2.4368467785690227,0.388,0.10921205098493614,-0.45999999999999996,0.20550006178187225,0.19605052144191595,1.8933333333333335,2.4436766470946103,0.42,0.14056809905316836,-0.456,0.3551488484568441,0.33611232360582655,1.416,1.8325452851763917,0.536,0.19294760367519248,-0.14666666666666664
8,250,0.15782603510385135,0.14772647984238674,1.973333333333333,2.474402284727903,0.384,0.10369652899252602,-0.31466666666666665,0.24402827668806337,0.2315314896948357,1.8213333333333335,2.383647997875898,0.424,0.17058335637268474,-0.41066666666666674,0.3258777512296667,0.2871351627224196,1.4346666666666665,1.8419796114205198,0.544,0.18356361026377166,-0.16266666666666674
16,250,0.16335680327130409,0.1643342629068006,2.009333333333333,2.4791575630084957,0.372,0.07662724040345403,-0.3240000000000001,0.2653228274021044,0.2650544945875485,1.7746666666666668,2.3440705336373022,0.444,0.1848653035199328,-0.3533333333333335,0.33864167488758,0.29261501582654986,1.3933333333333335,1.805793146760971,0.54,0.18780371079369762,-0.10266666666666668
